
SetupTitle, HfO2 experiment
PrimitiveTest, I/V Sweep
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 05/19/2022 16:18:10
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 7
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 200 300 30 1 2
MetaData, TestRecord.LinkKey, 6f9f66dc-bb27-40cd-af14-36355647fe52
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, DrainVoltage
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, DrainCurrent
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -0.00018
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.00018
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		2E-05	2E-05	5
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, V3, I3, I1
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, , , 
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, HfO2 experiment
Dimension1, 402, 402, 402, 402, 402
Dimension2, 1, 1, 1, 1, 1
DataName, DrainVoltage, DrainCurrent, V3, I3, I1
DataValue, -1, -0.00017582, , , 
DataValue, -0.9900000000000001, -0.000169946, , , 
DataValue, -0.98000000000000009, -0.000163832, , , 
DataValue, -0.97000000000000008, -0.00015852000000000002, , , 
DataValue, -0.96000000000000008, -0.00015326400000000002, , , 
DataValue, -0.95000000000000007, -0.000147703, , , 
DataValue, -0.94000000000000006, -0.000142404, , , 
DataValue, -0.93, -0.000137107, , , 
DataValue, -0.92, -0.000132007, , , 
DataValue, -0.91, -0.000127104, , , 
DataValue, -0.9, -0.000122092, , , 
DataValue, -0.89, -0.00011728300000000001, , , 
DataValue, -0.88, -0.00011259, , , 
DataValue, -0.87, -0.000107942, , , 
DataValue, -0.86, -0.00010341, , , 
DataValue, -0.85000000000000009, -9.89856E-05, , , 
DataValue, -0.84000000000000008, -9.4729400000000008E-05, , , 
DataValue, -0.83000000000000007, -9.06519E-05, , , 
DataValue, -0.82000000000000006, -8.66825E-05, , , 
DataValue, -0.81, -8.27503E-05, , , 
DataValue, -0.8, -7.89627E-05, , , 
DataValue, -0.79, -7.52832E-05, , , 
DataValue, -0.78, -7.16684E-05, , , 
DataValue, -0.77, -6.8207800000000008E-05, , , 
DataValue, -0.76, -6.48699E-05, , , 
DataValue, -0.75, -6.1631400000000008E-05, , , 
DataValue, -0.74, -5.85069E-05, , , 
DataValue, -0.73, -5.546E-05, , , 
DataValue, -0.72000000000000008, -5.25671E-05, , , 
DataValue, -0.71000000000000008, -4.9765E-05, , , 
DataValue, -0.70000000000000007, -4.70757E-05, , , 
DataValue, -0.69000000000000006, -4.4486E-05, , , 
DataValue, -0.68, -4.19918E-05, , , 
DataValue, -0.67, -3.9583200000000004E-05, , , 
DataValue, -0.66, -3.7309E-05, , , 
DataValue, -0.65, -3.5128E-05, , , 
DataValue, -0.64, -3.30445E-05, , , 
DataValue, -0.63, -3.10399E-05, , , 
DataValue, -0.62, -2.9130700000000002E-05, , , 
DataValue, -0.61, -2.73232E-05, , , 
DataValue, -0.6, -2.5595400000000002E-05, , , 
DataValue, -0.59000000000000008, -2.39553E-05, , , 
DataValue, -0.58000000000000007, -2.2399E-05, , , 
DataValue, -0.57000000000000006, -2.09178E-05, , , 
DataValue, -0.56, -1.95117E-05, , , 
DataValue, -0.55, -1.81805E-05, , , 
DataValue, -0.54, -1.69347E-05, , , 
DataValue, -0.53, -1.57444E-05, , , 
DataValue, -0.52, -1.46346E-05, , , 
DataValue, -0.51, -1.35831E-05, , , 
DataValue, -0.5, -1.25928E-05, , , 
DataValue, -0.49000000000000005, -1.1667400000000001E-05, , , 
DataValue, -0.48000000000000004, -1.07925E-05, , , 
DataValue, -0.47000000000000003, -9.9726200000000014E-06, , , 
DataValue, -0.46, -9.20376E-06, , , 
DataValue, -0.45, -8.48497E-06, , , 
DataValue, -0.44, -7.81962E-06, , , 
DataValue, -0.43, -7.1925100000000009E-06, , , 
DataValue, -0.42000000000000004, -6.61166E-06, , , 
DataValue, -0.41000000000000003, -6.0675600000000007E-06, , , 
DataValue, -0.4, -5.5623000000000009E-06, , , 
DataValue, -0.39, -5.0952200000000005E-06, , , 
DataValue, -0.38, -4.6584900000000005E-06, , , 
DataValue, -0.37, -4.25831E-06, , , 
DataValue, -0.36000000000000004, -3.884E-06, , , 
DataValue, -0.35000000000000003, -3.5404600000000004E-06, , , 
DataValue, -0.34, -3.2202500000000002E-06, , , 
DataValue, -0.33, -2.9257500000000003E-06, , , 
DataValue, -0.32, -2.65657E-06, , , 
DataValue, -0.31, -2.4065100000000004E-06, , , 
DataValue, -0.3, -2.17869E-06, , , 
DataValue, -0.29000000000000004, -1.9690100000000004E-06, , , 
DataValue, -0.28, -1.77568E-06, , , 
DataValue, -0.27, -1.6002100000000002E-06, , , 
DataValue, -0.26, -1.4383200000000002E-06, , , 
DataValue, -0.25, -1.29223E-06, , , 
DataValue, -0.24000000000000002, -1.1577600000000001E-06, , , 
DataValue, -0.23, -1.0355400000000001E-06, , , 
DataValue, -0.22, -9.24742E-07, , , 
DataValue, -0.21000000000000002, -8.23536E-07, , , 
DataValue, -0.2, -7.32696E-07, , , 
DataValue, -0.19, -6.49829E-07, , , 
DataValue, -0.18000000000000002, -5.74946E-07, , , 
DataValue, -0.17, -5.08152E-07, , , 
DataValue, -0.16, -4.47127E-07, , , 
DataValue, -0.15, -3.92764E-07, , , 
DataValue, -0.14, -3.43517E-07, , , 
DataValue, -0.13, -2.99342E-07, , , 
DataValue, -0.12000000000000001, -2.60061E-07, , , 
DataValue, -0.11, -2.24656E-07, , , 
DataValue, -0.1, -1.93118E-07, , , 
DataValue, -0.090000000000000011, -1.64671E-07, , , 
DataValue, -0.08, -1.39329E-07, , , 
DataValue, -0.07, -1.16309E-07, , , 
DataValue, -0.060000000000000005, -9.5615499999999987E-08, , , 
DataValue, -0.05, -7.6750599999999988E-08, , , 
DataValue, -0.04, -5.9367899999999994E-08, , , 
DataValue, -0.030000000000000002, -4.33766E-08, , , 
DataValue, -0.02, -2.8163599999999998E-08, , , 
DataValue, -0.01, -1.3581999999999999E-08, , , 
DataValue, 0, 2.68206E-10, , , 
DataValue, 0.01, 1.4361999999999998E-08, , , 
DataValue, 0.02, 2.8894899999999996E-08, , , 
DataValue, 0.030000000000000002, 4.40038E-08, , , 
DataValue, 0.04, 6.00142E-08, , , 
DataValue, 0.05, 7.66262E-08, , , 
DataValue, 0.060000000000000005, 9.5140299999999993E-08, , , 
DataValue, 0.07, 1.15303E-07, , , 
DataValue, 0.08, 1.38057E-07, , , 
DataValue, 0.090000000000000011, 1.63207E-07, , , 
DataValue, 0.1, 1.90859E-07, , , 
DataValue, 0.11, 2.2195E-07, , , 
DataValue, 0.12000000000000001, 2.56417E-07, , , 
DataValue, 0.13, 2.95189E-07, , , 
DataValue, 0.14, 3.37826E-07, , , 
DataValue, 0.15, 3.85743E-07, , , 
DataValue, 0.16, 4.39088E-07, , , 
DataValue, 0.17, 4.97803E-07, , , 
DataValue, 0.18000000000000002, 5.63365E-07, , , 
DataValue, 0.19, 6.35354E-07, , , 
DataValue, 0.2, 7.15438E-07, , , 
DataValue, 0.21000000000000002, 8.0396499999999993E-07, , , 
DataValue, 0.22, 9.00734E-07, , , 
DataValue, 0.23, 1.008292E-06, , , 
DataValue, 0.24000000000000002, 1.1239600000000001E-06, , , 
DataValue, 0.25, 1.2533300000000001E-06, , , 
DataValue, 0.26, 1.3946400000000002E-06, , , 
DataValue, 0.27, 1.5489500000000002E-06, , , 
DataValue, 0.28, 1.7192400000000003E-06, , , 
DataValue, 0.29000000000000004, 1.9019000000000002E-06, , , 
DataValue, 0.3, 2.1039500000000004E-06, , , 
DataValue, 0.31, 2.3233600000000002E-06, , , 
DataValue, 0.32, 2.5614100000000004E-06, , , 
DataValue, 0.33, 2.8207600000000003E-06, , , 
DataValue, 0.34, 3.10148E-06, , , 
DataValue, 0.35000000000000003, 3.40763E-06, , , 
DataValue, 0.36000000000000004, 3.7382000000000005E-06, , , 
DataValue, 0.37, 4.09359E-06, , , 
DataValue, 0.38, 4.4795700000000007E-06, , , 
DataValue, 0.39, 4.8925900000000005E-06, , , 
DataValue, 0.4, 5.34186E-06, , , 
DataValue, 0.41000000000000003, 5.82579E-06, , , 
DataValue, 0.42000000000000004, 6.34229E-06, , , 
DataValue, 0.43, 6.8999400000000009E-06, , , 
DataValue, 0.44, 7.4937900000000011E-06, , , 
DataValue, 0.45, 8.1351000000000011E-06, , , 
DataValue, 0.46, 8.82196E-06, , , 
DataValue, 0.47000000000000003, 9.54996E-06, , , 
DataValue, 0.48000000000000004, 1.033358E-05, , , 
DataValue, 0.49000000000000005, 1.1163140000000001E-05, , , 
DataValue, 0.5, 1.20495E-05, , , 
DataValue, 0.51, 1.2993800000000001E-05, , , 
DataValue, 0.52, 1.39946E-05, , , 
DataValue, 0.53, 1.5065300000000001E-05, , , 
DataValue, 0.54, 1.61899E-05, , , 
DataValue, 0.55, 1.73915E-05, , , 
DataValue, 0.56, 1.86664E-05, , , 
DataValue, 0.57000000000000006, 2.00031E-05, , , 
DataValue, 0.58000000000000007, 2.1431100000000002E-05, , , 
DataValue, 0.59000000000000008, 2.29141E-05, , , 
DataValue, 0.6, 2.44932E-05, , , 
DataValue, 0.61, 2.61489E-05, , , 
DataValue, 0.62, 2.7885300000000002E-05, , , 
DataValue, 0.63, 2.9723E-05, , , 
DataValue, 0.64, 3.16308E-05, , , 
DataValue, 0.65, 3.36449E-05, , , 
DataValue, 0.66, 3.57595E-05, , , 
DataValue, 0.67, 3.79491E-05, , , 
DataValue, 0.68, 4.02654E-05, , , 
DataValue, 0.69000000000000006, 4.26504E-05, , , 
DataValue, 0.70000000000000007, 4.51504E-05, , , 
DataValue, 0.71000000000000008, 4.7769900000000005E-05, , , 
DataValue, 0.72000000000000008, 5.0476600000000004E-05, , , 
DataValue, 0.73, 5.3293E-05, , , 
DataValue, 0.74, 5.61861E-05, , , 
DataValue, 0.75, 5.92158E-05, , , 
DataValue, 0.76, 6.2346E-05, , , 
DataValue, 0.77, 6.55735E-05, , , 
DataValue, 0.78, 6.89293E-05, , , 
DataValue, 0.79, 7.2351500000000007E-05, , , 
DataValue, 0.8, 7.59919E-05, , , 
DataValue, 0.81, 7.96731E-05, , , 
DataValue, 0.82000000000000006, 8.34968E-05, , , 
DataValue, 0.83000000000000007, 8.74173E-05, , , 
DataValue, 0.84000000000000008, 9.14497E-05, , , 
DataValue, 0.85000000000000009, 9.56439E-05, , , 
DataValue, 0.86, 9.99118E-05, , , 
DataValue, 0.87, 0.00010423870000000001, , , 
DataValue, 0.88, 0.0001087243, , , 
DataValue, 0.89, 0.0001133587, , , 
DataValue, 0.9, 0.00011805700000000001, , , 
DataValue, 0.91, 0.000122831, , , 
DataValue, 0.92, 0.000127751, , , 
DataValue, 0.93, 0.0001326, , , 
DataValue, 0.94000000000000006, 0.00013795700000000002, , , 
DataValue, 0.95000000000000007, 0.000144124, , , 
DataValue, 0.96000000000000008, 0.000149431, , , 
DataValue, 0.97000000000000008, 0.00015493600000000002, , , 
