SetupTitle, HfO2 experiment,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, DrainVoltage,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, ,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, DrainCurrent,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, ,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom,-0.0023,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top,0.0019,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX,0.5,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY,0.547619048,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX,0.5,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY,0.547619048,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX,0.5,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY,0.547619048,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, ,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX,0.5,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY,0.547619048,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX,0.5,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY,0.547619048,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, ,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor,-1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor,-16777216,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor,-3618616,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor,-65336,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor,-11513776,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor,-24416,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor,-16777036,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor,-39936,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor,-16731136,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor,-8892376,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor,-65536,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor,-14336,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor,-6946586,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor,-16733546,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness,1,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size,7,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size,7,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size,7,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount,6,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits,6,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits,6,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits,6,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, ,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo," 		2E-05	2E-05	5",,,
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, V3, I3, I1,
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, , , ,
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true,,,
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true,,,
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true,,,
AnalysisSetup, Analysis.Setup.Title, HfO2 experiment,,,
Dimension1,402,402,402,402,402
Dimension2,1,1,1,1,1
DataName, DrainVoltage, DrainCurrent, V3, I3, I1
DataValue,-1,-0.00035797,0.00035797, , 
DataValue,-0.99,-0.000351906,0.000351906, , 
DataValue,-0.98,-0.000342516,0.000342516, , 
DataValue,-0.97,-0.000335894,0.000335894, , 
DataValue,-0.96,-0.000320277,0.000320277, , 
DataValue,-0.95,-0.000311923,0.000311923, , 
DataValue,-0.94,-0.000308633,0.000308633, , 
DataValue,-0.93,-0.000311281,0.000311281, , 
DataValue,-0.92,-0.00031287,0.00031287, , 
DataValue,-0.91,-0.000297129,0.000297129, , 
DataValue,-0.9,-0.000285128,0.000285128, , 
DataValue,-0.89,-0.000274863,0.000274863, , 
DataValue,-0.88,-0.000266681,0.000266681, , 
DataValue,-0.87,-0.000260624,0.000260624, , 
DataValue,-0.86,-0.000255298,0.000255298, , 
DataValue,-0.85,-0.000253909,0.000253909, , 
DataValue,-0.84,-0.000255688,0.000255688, , 
DataValue,-0.83,-0.000249511,0.000249511, , 
DataValue,-0.82,-0.000245037,0.000245037, , 
DataValue,-0.81,-0.000237814,0.000237814, , 
DataValue,-0.8,-0.000233281,0.000233281, , 
DataValue,-0.79,-0.00022731,0.00022731, , 
DataValue,-0.78,-0.000223858,0.000223858, , 
DataValue,-0.77,-0.000217501,0.000217501, , 
DataValue,-0.76,-0.000212862,0.000212862, , 
DataValue,-0.75,-0.0002068,0.0002068, , 
DataValue,-0.74,-0.000201353,0.000201353, , 
DataValue,-0.73,-0.000196614,0.000196614, , 
DataValue,-0.72,-0.000191615,0.000191615, , 
DataValue,-0.71,-0.000185921,0.000185921, , 
DataValue,-0.7,-0.000181372,0.000181372, , 
DataValue,-0.69,-0.000177137,0.000177137, , 
DataValue,-0.68,-0.000173137,0.000173137, , 
DataValue,-0.67,-0.000168298,0.000168298, , 
DataValue,-0.66,-0.00016459,0.00016459, , 
DataValue,-0.65,-0.000159796,0.000159796, , 
DataValue,-0.64,-0.00015639,0.00015639, , 
DataValue,-0.63,-0.000151693,0.000151693, , 
DataValue,-0.62,-0.000148347,0.000148347, , 
DataValue,-0.61,-0.000143152,0.000143152, , 
DataValue,-0.6,-0.000139844,0.000139844, , 
DataValue,-0.59,-0.000135732,0.000135732, , 
DataValue,-0.58,-0.000133108,0.000133108, , 
DataValue,-0.57,-0.000128954,0.000128954, , 
DataValue,-0.56,-0.000126085,0.000126085, , 
DataValue,-0.55,-0.000121442,0.000121442, , 
DataValue,-0.54,-0.000118808,0.000118808, , 
DataValue,-0.53,-0.000114807,0.000114807, , 
DataValue,-0.52,-0.000111806,0.000111806, , 
DataValue,-0.51,-0.00010855,0.00010855, , 
DataValue,-0.5,-0.00010582,0.00010582, , 
DataValue,-0.49,-0.00010206,0.00010206, , 
DataValue,-0.48,-1.00E-04,0.000099988, , 
DataValue,-0.47,-9.68E-05,9.68216E-05, , 
DataValue,-0.46,-9.38E-05,9.37854E-05, , 
DataValue,-0.45,-9.14E-05,9.14193E-05, , 
DataValue,-0.44,-8.86E-05,8.86008E-05, , 
DataValue,-0.43,-8.47E-05,8.46687E-05, , 
DataValue,-0.42,-8.24E-05,8.24007E-05, , 
DataValue,-0.41,-7.97E-05,7.97382E-05, , 
DataValue,-0.4,-7.69E-05,7.69049E-05, , 
DataValue,-0.39,-7.45E-05,7.45206E-05, , 
DataValue,-0.38,-7.19E-05,7.19482E-05, , 
DataValue,-0.37,-6.96E-05,6.96425E-05, , 
DataValue,-0.36,-6.71E-05,6.71175E-05, , 
DataValue,-0.35,-6.47E-05,6.46694E-05, , 
DataValue,-0.34,-6.23E-05,6.22662E-05, , 
DataValue,-0.33,-5.99E-05,5.99473E-05, , 
DataValue,-0.32,-5.76E-05,5.76435E-05, , 
DataValue,-0.31,-5.56E-05,5.55979E-05, , 
DataValue,-0.3,-5.34E-05,5.33856E-05, , 
DataValue,-0.29,-5.09E-05,5.09389E-05, , 
DataValue,-0.28,-4.88E-05,4.87594E-05, , 
DataValue,-0.27,-4.66E-05,4.66475E-05, , 
DataValue,-0.26,-4.45E-05,4.45483E-05, , 
DataValue,-0.25,-4.26E-05,4.25743E-05, , 
DataValue,-0.24,-4.06E-05,4.06428E-05, , 
DataValue,-0.23,-3.83E-05,3.83224E-05, , 
DataValue,-0.22,-3.65E-05,3.64652E-05, , 
DataValue,-0.21,-3.46E-05,3.45607E-05, , 
DataValue,-0.2,-3.26E-05,0.000032624, , 
DataValue,-0.19,-3.09E-05,3.09318E-05, , 
DataValue,-0.18,-2.91E-05,2.91187E-05, , 
DataValue,-0.17,-2.75E-05,2.75154E-05, , 
DataValue,-0.16,-2.62E-05,2.61802E-05, , 
DataValue,-0.15,-2.40E-05,2.40261E-05, , 
DataValue,-0.14,-2.23E-05,2.22539E-05, , 
DataValue,-0.13,-2.06E-05,2.05599E-05, , 
DataValue,-0.12,-1.89E-05,1.89039E-05, , 
DataValue,-0.11,-1.72E-05,1.72424E-05, , 
DataValue,-0.1,-1.56E-05,1.56481E-05, , 
DataValue,-0.09,-1.46E-05,1.45644E-05, , 
DataValue,-0.08,-1.25E-05,1.25229E-05, , 
DataValue,-0.07,-1.09E-05,1.08545E-05, , 
DataValue,-0.06,-9.30E-06,9.30371E-06, , 
DataValue,-0.05,-7.56E-06,7.55805E-06, , 
DataValue,-0.04,-6.04E-06,6.04014E-06, , 
DataValue,-0.03,-4.59E-06,4.59414E-06, , 
DataValue,-0.02,-3.11E-06,3.11109E-06, , 
DataValue,-0.01,-1.61E-06,1.60582E-06, , 
DataValue,0,1.02E-09,1.01691E-09, , 
DataValue,0.01,1.55E-06,1.5507E-06, , 
DataValue,0.02,3.14E-06,3.14207E-06, , 
DataValue,0.03,4.76E-06,4.76255E-06, , 
DataValue,0.04,6.42E-06,6.41967E-06, , 
DataValue,0.05,8.15E-06,8.14503E-06, , 
DataValue,0.06,9.85E-06,9.84793E-06, , 
DataValue,0.07,1.16E-05,1.15897E-05, , 
DataValue,0.08,1.32E-05,1.31634E-05, , 
DataValue,0.09,1.54E-05,1.53983E-05, , 
DataValue,0.1,1.73E-05,0.000017321, , 
DataValue,0.11,1.92E-05,1.91829E-05, , 
DataValue,0.12,2.15E-05,2.15322E-05, , 
DataValue,0.13,2.34E-05,2.34424E-05, , 
DataValue,0.14,2.57E-05,2.57497E-05, , 
DataValue,0.15,2.79E-05,2.79432E-05, , 
DataValue,0.16,2.99E-05,2.99453E-05, , 
DataValue,0.17,3.19E-05,3.19069E-05, , 
DataValue,0.18,3.43E-05,3.42645E-05, , 
DataValue,0.19,3.66E-05,3.66449E-05, , 
DataValue,0.2,3.93E-05,3.92855E-05, , 
DataValue,0.21,4.15E-05,4.14942E-05, , 
DataValue,0.22,4.42E-05,0.000044243, , 
DataValue,0.23,4.65E-05,4.65009E-05, , 
DataValue,0.24,4.90E-05,4.89756E-05, , 
DataValue,0.25,5.14E-05,5.13865E-05, , 
DataValue,0.26,5.37E-05,5.37436E-05, , 
DataValue,0.27,5.63E-05,5.63121E-05, , 
DataValue,0.28,5.96E-05,5.95511E-05, , 
DataValue,0.29,6.26E-05,6.25642E-05, , 
DataValue,0.3,6.52E-05,6.51907E-05, , 
DataValue,0.31,6.73E-05,0.000067258, , 
DataValue,0.32,7.02E-05,7.01827E-05, , 
DataValue,0.33,7.35E-05,7.35318E-05, , 
DataValue,0.34,7.58E-05,7.58151E-05, , 
DataValue,0.35,7.87E-05,7.86909E-05, , 
DataValue,0.36,8.30E-05,8.30472E-05, , 
DataValue,0.37,8.53E-05,8.52659E-05, , 
DataValue,0.38,8.84E-05,8.83505E-05, , 
DataValue,0.39,9.04E-05,9.03735E-05, , 
DataValue,0.4,9.33E-05,0.000093277, , 
DataValue,0.41,9.68E-05,9.67769E-05, , 
DataValue,0.42,0.000100254,0.000100254, , 
DataValue,0.43,9.85E-05,9.85489E-05, , 
DataValue,0.44,9.80E-05,9.80238E-05, , 
DataValue,0.45,0.000100603,0.000100603, , 
DataValue,0.46,0.000103449,0.000103449, , 
DataValue,0.47,0.000106682,0.000106682, , 
DataValue,0.48,0.000109714,0.000109714, , 
DataValue,0.49,0.000113057,0.000113057, , 
DataValue,0.5,0.000116584,0.000116584, , 
DataValue,0.51,0.00012261,0.00012261, , 
DataValue,0.52,0.000127139,0.000127139, , 
DataValue,0.53,0.000131637,0.000131637, , 
DataValue,0.54,0.000137736,0.000137736, , 
DataValue,0.55,0.000144571,0.000144571, , 
DataValue,0.56,0.000147088,0.000147088, , 
DataValue,0.57,0.000151095,0.000151095, , 
DataValue,0.58,0.00015479,0.00015479, , 
DataValue,0.59,0.000160282,0.000160282, , 
DataValue,0.6,0.000164139,0.000164139, , 
DataValue,0.61,0.000170923,0.000170923, , 
DataValue,0.62,0.000170313,0.000170313, , 
DataValue,0.63,0.000175555,0.000175555, , 
DataValue,0.64,0.000179299,0.000179299, , 
